time,open,high,low,close,volume
1502942400,4261.48,4280.56,4261.48,4261.48,2.1890609999999997
1502942700,4261.48,4261.48,4261.48,4261.48,0
1502943000,4261.48,4261.48,4261.48,4261.48,0
1502943300,4261.48,4264.88,4261.48,4261.48,0.484666
1502943600,4264.88,4266.29,4264.88,4266.29,2.32857
1502943900,4266.29,4270.41,4261.32,4261.45,6.306629
1502944200,4280,4296.63,4267.99,4296.63,7.9381330000000005
1502944500,4300.38,4300.38,4300.38,4300.38,5.626596
1502944800,4300.38,4310.07,4300.38,4310.07,8.358823000000001
1502945100,4310.07,4310.07,4292.01,4292.01,2.4481
1502945400,4292.01,4313.62,4292.01,4313.6,4.758883
1502945700,4302.48,4313.62,4291.37,4308.83,6.741548
1502946000,4308.83,4308.83,4304.31,4304.31,0.48285500000000003
1502946300,4308.83,4328.69,4308.83,4328.69,4.274772
1502946600,4328.69,4328.69,4304.31,4304.31,0.343526
1502946900,4320,4320,4312.14,4320,5.4515329999999995
1502947200,4320,4320,4320,4320,3.446473
1502947500,4319.22,4320,4319.22,4320,7.0494889999999995
1502947800,4320,4320,4320,4320,1.0273780000000001
1502948100,4320,4320,4291.37,4291.37,1.1280750000000002
1502948400,4291.37,4291.37,4291.37,4291.37,0
1502948700,4297.04,4297.04,4297.04,4297.04,0.007884
1502949000,4297.04,4315.32,4297.04,4315.32,0.000943
1502949300,4315.32,4315.32,4315.32,4315.32,0.021988
1502949600,4315.32,4330.29,4315.32,4330.29,0.009339
1502949900,4318.39,4318.39,4318.39,4318.39,0.0542
1502950200,4318.39,4330,4318.39,4330,0.001825
1502950500,4330,4330,4330,4330,0
1502950800,4309.37,4330.29,4309.37,4311.58,3.185628
1502951100,4311.58,4311.58,4311.01,4311.02,0.31528500000000004
1502951400,4311.02,4328.65,4311.02,4319.83,1.212901
1502951700,4324.34,4345.45,4324.34,4345.45,2.281275
1502952000,4345.45,4345.45,4345.45,4345.45,0
1502952300,4345.45,4345.45,4330.12,4330.12,0.09461
1502952600,4330.12,4330.12,4330.12,4330.12,0.00641
1502952900,4324.35,4324.35,4324.35,4324.35,0.068218
1502953200,4324.35,4324.35,4324.35,4324.35,0
1502953500,4324.35,4324.35,4316.62,4316.62,0.001541
1502953800,4316.62,4316.62,4316.62,4316.62,0
1502954100,4316.62,4316.62,4316.62,4316.62,0
1502954400,4316.62,4316.62,4316.62,4316.62,0
1502954700,4316.62,4316.62,4291.38,4291.38,0.038918
1502955000,4291.38,4291.38,4291.38,4291.38,0
1502955300,4291.39,4291.39,4291.39,4291.39,0.011431
1502955600,4291.39,4300,4291.39,4300,0.70747
1502955900,4287.41,4287.41,4287.41,4287.41,0.004263
1502956200,4305.38,4330.12,4305.38,4323.34,0.552392
1502956500,4323.34,4349.99,4323.34,4349.99,3.127234
1502956800,4333.32,4377.85,4333.32,4333.32,0.6590750000000001
1502957100,4377.85,4377.85,4360.71,4360.71,0.107342
1502957400,4360.71,4360.71,4360.71,4360.71,0
1502957700,4360.71,4360.71,4360.71,4360.71,0
1502958000,4360.71,4360.71,4360.71,4360.71,0.011481
1502958300,4360.7,4360.7,4360.7,4360.7,0.064362
1502958600,4360.7,4360.7,4360.7,4360.7,0.001024
1502958900,4360.7,4360.7,4360,4360,0.064316
1502959200,4360.69,4360.69,4360.69,4360.69,0.033922
1502959500,4360.69,4360.7,4360.69,4360.7,0.008232
1502959800,4360.7,4360.7,4360.69,4360.69,0.023053
1502960100,4360.69,4360.69,4360.69,4360.69,0
1502960400,4360.69,4360.69,4360.69,4360.69,0
1502960700,4360.69,4360.69,4360,4360,0.006296
1502961000,4360,4360,4360,4360,0
1502961300,4360,4360,4360,4360,0.520001
1502961600,4360,4360,4360,4360,0.860003
1502961900,4360,4360,4360,4360,0.908701
1502962200,4360,4445.78,4360,4445.78,7.921662999999999
1502962500,4445.78,4445.78,4445.78,4445.78,0.41119700000000003
1502962800,4445,4445,4436.51,4436.51,0.07794
1502963100,4436.51,4444,4436.51,4444,0.041680999999999996
1502963400,4444,4444,4444,4444,0.008156
1502963700,4444,4444,4444,4444,0.007985
1502964000,4441.1,4441.1,4436.51,4436.51,1.074879
1502964300,4436.51,4436.51,4400,4400,1.4542190000000002
